datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,24.21,23.620000,-0.220000,-0.370000,True,1
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,23.54,23.190000,-0.130000,-0.220000,True,1
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,22.84,22.110000,-0.380000,-0.350000,True,1
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,22.70,21.790000,-0.520000,-0.390000,True,1
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,22.71,22.080000,-0.240000,-0.390000,True,1
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,22.84,21.970000,-0.650000,-0.220000,True,1
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,24.57,22.960000,-1.490000,-0.120000,True,1
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.28,22.290000,-4.630000,-0.360000,True,1
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.41,24.650000,-3.350000,-0.410000,True,1
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,29.15,25.540000,-3.260000,-0.350000,True,1
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.20,25.030000,-1.880000,-0.290000,True,1
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.50,26.290000,-1.010000,-0.200000,True,1
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.25,25.040000,-1.040000,-0.170000,True,1
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,25.46,24.370000,-1.010000,-0.080000,True,1
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,25.43,24.340000,-1.050000,-0.040000,True,1
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.17,25.260000,-0.850000,-0.060000,True,1
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,29.79,27.910000,-1.670000,-0.210000,True,1
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,34.76,32.210000,-2.590000,0.040000,True,1
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,34.15,31.140000,-2.620000,-0.390000,True,1
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,33.61,30.310000,-2.660000,-0.640000,True,1
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,31.97,28.360000,-3.040000,-0.570000,True,1
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.69,24.310000,-4.110000,-0.270000,True,1
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.37,27.030000,-1.070000,-0.270000,True,1
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.03,27.250000,-0.750000,-0.030000,True,1
1/2/2023 5:00:00 AM,1/2/2023 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,23.79,23.660000,-0.580000,0.450000,True,1
1/2/2023 6:00:00 AM,1/2/2023 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,22.51,22.370000,-0.260000,0.120000,True,1
1/2/2023 7:00:00 AM,1/2/2023 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.69,21.720000,-0.080000,0.110000,True,1
1/2/2023 8:00:00 AM,1/2/2023 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.71,21.760000,0.000000,0.050000,True,1
1/2/2023 9:00:00 AM,1/2/2023 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.77,21.720000,-0.140000,0.090000,True,1
1/2/2023 10:00:00 AM,1/2/2023 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,23.16,22.730000,-0.450000,0.020000,True,1
1/2/2023 11:00:00 AM,1/2/2023 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.96,26.130000,-0.740000,-0.090000,True,1
1/2/2023 12:00:00 PM,1/2/2023 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.47,26.750000,-1.400000,-0.320000,True,1
1/2/2023 1:00:00 PM,1/2/2023 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.12,25.740000,-2.180000,-0.200000,True,1
1/2/2023 2:00:00 PM,1/2/2023 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.58,23.800000,-3.060000,-0.720000,True,1
1/2/2023 3:00:00 PM,1/2/2023 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.88,25.800000,-2.590000,-0.490000,True,1
1/2/2023 4:00:00 PM,1/2/2023 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.08,24.900000,-2.790000,-0.390000,True,1
1/2/2023 5:00:00 PM,1/2/2023 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.47,24.240000,-2.890000,-0.340000,True,1
1/2/2023 6:00:00 PM,1/2/2023 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.03,23.960000,-2.680000,-0.390000,True,1
1/2/2023 7:00:00 PM,1/2/2023 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.10,23.490000,-3.250000,-0.360000,True,1
1/2/2023 8:00:00 PM,1/2/2023 3:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.95,22.790000,-4.010000,-0.150000,True,1
1/2/2023 9:00:00 PM,1/2/2023 4:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.72,22.790000,-5.830000,-0.100000,True,1
1/2/2023 10:00:00 PM,1/2/2023 5:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,31.53,23.900000,-7.680000,0.050000,True,1
1/2/2023 11:00:00 PM,1/2/2023 6:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,29.69,22.740000,-6.880000,-0.070000,True,1
1/3/2023 12:00:00 AM,1/2/2023 7:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,29.60,23.700000,-5.670000,-0.230000,True,1
1/3/2023 1:00:00 AM,1/2/2023 8:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.92,22.460000,-5.170000,-0.290000,True,1
1/3/2023 2:00:00 AM,1/2/2023 9:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,25.88,21.120000,-4.390000,-0.370000,True,1
1/3/2023 3:00:00 AM,1/2/2023 10:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,24.04,21.440000,-2.200000,-0.400000,True,1
1/3/2023 4:00:00 AM,1/2/2023 11:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,22.72,20.110000,-2.270000,-0.340000,True,1
1/3/2023 5:00:00 AM,1/3/2023 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,23.58,23.360000,-0.380000,0.160000,True,1
1/3/2023 6:00:00 AM,1/3/2023 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.45,21.660000,0.120000,0.090000,True,1
1/3/2023 7:00:00 AM,1/3/2023 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.29,20.200000,-0.050000,-0.040000,True,1
1/3/2023 8:00:00 AM,1/3/2023 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.37,20.400000,0.130000,-0.100000,True,1
1/3/2023 9:00:00 AM,1/3/2023 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.86,20.230000,-0.550000,-0.080000,True,1
1/3/2023 10:00:00 AM,1/3/2023 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,23.24,21.590000,-1.530000,-0.120000,True,1
